Gmt time,Open,High,Low,Close,Volume
15.03.2020 11:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 12:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 13:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 14:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 15:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 16:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 17:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 18:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 19:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 20:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 21:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 22:00:00.000,1567.348,1575.305,1539.395,1545.705,4015075.2068
15.03.2020 23:00:00.000,1545.625,1563.138,1541.735,1557.458,2339622.0207
16.03.2020 00:00:00.000,1557.908,1560.718,1541.425,1547.938,3308049.9172
16.03.2020 01:00:00.000,1548.008,1549.085,1523.845,1534.555,5456055.1643
16.03.2020 02:00:00.000,1534.455,1548.528,1530.338,1546.325,5048500.061
16.03.2020 03:00:00.000,1546.258,1549.028,1543.308,1547.895,3243000.0305
16.03.2020 04:00:00.000,1547.925,1550.755,1538.008,1546.758,3257100.1053
16.03.2020 05:00:00.000,1546.748,1546.768,1538.325,1540.525,3724970.1023
16.03.2020 06:00:00.000,1540.595,1547.305,1539.885,1543.975,3699850.0824
16.03.2020 07:00:00.000,1543.975,1547.378,1529.438,1531.148,4738810.0624
16.03.2020 08:00:00.000,1531.148,1541.925,1529.348,1539.198,4142330.1697
16.03.2020 09:00:00.000,1539.168,1540.828,1512.415,1527.008,4502299.7856
16.03.2020 10:00:00.000,1527.045,1528.238,1475.495,1477.775,6529160.0227
16.03.2020 11:00:00.000,1477.815,1481.713,1456.288,1461.568,7148230.0758
16.03.2020 12:00:00.000,1461.668,1478.395,1454.318,1455.525,8062219.6198
16.03.2020 13:00:00.000,1455.555,1475.728,1451.148,1470.678,7840620.0409
16.03.2020 14:00:00.000,1470.728,1497.938,1464.288,1497.635,8753129.9591
16.03.2020 15:00:00.000,1497.615,1519.275,1486.065,1503.748,8963408.4702
16.03.2020 16:00:00.000,1503.778,1513.548,1499.958,1508.608,7291659.832
16.03.2020 17:00:00.000,1508.618,1513.463,1483.688,1492.015,6501890.1825
16.03.2020 18:00:00.000,1492.015,1509.698,1487.228,1506.388,3320729.9709
16.03.2020 19:00:00.000,1506.585,1509.888,1488.788,1509.068,4780419.8265
16.03.2020 20:00:00.000,1509.178,1517.408,1495.758,1513.768,1880149.9605
16.03.2020 21:00:00.000,1513.768,1513.768,1513.768,1513.768,0
16.03.2020 22:00:00.000,1512.078,1512.078,1496.918,1508.748,1602563.0236
16.03.2020 23:00:00.000,1508.848,1517.738,1503.945,1507.195,2008559.9422
17.03.2020 00:00:00.000,1507.155,1519.238,1504.188,1517.105,2978240.0131
